system:index,latitude,longitude,occurrence,point_id,.geo
104_0,41.49825845483599,2.198132584476241,0,74.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.198132584476241,41.49825845483599]}"
106_0,41.436813689402214,2.078207494046268,0,75.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.078207494046268,41.436813689402214]}"
108_0,41.35758228134287,2.169296663855988,0,76.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.169296663855988,41.35758228134287]}"
110_0,41.48720917684132,2.2956896243316294,0,77.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.2956896243316294,41.48720917684132]}"
111_0,41.35084491671198,2.076590526534858,0,78.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.076590526534858,41.35084491671198]}"
113_0,41.41444563882764,2.2097208516413787,0,79.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.2097208516413787,41.41444563882764]}"
114_0,41.30530033180712,2.0825194074100466,0,80.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0825194074100466,41.30530033180712]}"
115_0,41.39881495288396,2.1463896241109524,0,81.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1463896241109524,41.39881495288396]}"
116_0,41.385340223622165,2.079824461557706,0,82.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.079824461557706,41.385340223622165]}"
117_0,41.486670187670846,2.0321239199709566,0,83.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0321239199709566,41.486670187670846]}"
118_0,41.33467524159782,2.0283509957776573,0,84.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0283509957776573,41.33467524159782]}"
120_0,41.476429393431886,2.2655062307852063,0,85.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.2655062307852063,41.476429393431886]}"
121_0,41.40258787707726,2.1593253642022603,0,86.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1593253642022603,41.40258787707726]}"
123_0,41.43789166774316,2.185735833555384,0,87.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.185735833555384,41.43789166774316]}"
126_0,41.48343625264802,2.179267963509716,0,88.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.179267963509716,41.48343625264802]}"
127_0,41.49933643317693,2.276016519609385,0,89.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.276016519609385,41.49933643317693]}"
128_0,41.46618859919292,2.079824461557706,0,90.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.079824461557706,41.46618859919292]}"
131_0,41.41282867131622,2.1633677829807993,0,91.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1633677829807993,41.41282867131622]}"
132_0,41.494755025227924,2.0216136311467494,0,92.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0216136311467494,41.494755025227924]}"
133_0,41.348419465444856,2.11081633885982,0,93.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.11081633885982,41.348419465444856]}"
134_0,41.47319545840905,2.1407302378210034,0,94.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1407302378210034,41.47319545840905]}"
135_0,41.47157849089764,2.1428861945028927,0,95.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1428861945028927,41.47157849089764]}"
136_0,41.32497343652933,2.1054264471551107,0,96.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1054264471551107,41.32497343652933]}"
137_0,41.3465330033482,2.053683486789822,0,97.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.053683486789822,41.3465330033482]}"
138_0,41.4465154944707,2.2269685050964654,0,98.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.2269685050964654,41.4465154944707]}"
141_0,41.39207758825306,2.1291419706558656,0,99.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1291419706558656,41.39207758825306]}"
142_0,41.354348346320045,2.06661922688113,0,100.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.06661922688113,41.354348346320045]}"
143_0,41.35353986256433,2.1391132703095934,0,101.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1391132703095934,41.35353986256433]}"
145_0,41.354348346320045,2.1008450392060922,0,102.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1008450392060922,41.354348346320045]}"
147_0,41.41767957385047,2.0655412485401996,0,103.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0655412485401996,41.41767957385047]}"
148_0,41.39908444746919,2.110007855104101,0,104.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.110007855104101,41.39908444746919]}"
150_0,41.325512425699806,2.0617683243469003,0,105.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0617683243469003,41.325512425699806]}"
152_0,41.347610981689144,2.057995400153601,0,106.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.057995400153601,41.347610981689144]}"
153_0,41.46618859919292,2.212685292078959,0,107.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.212685292078959,41.46618859919292]}"
154_0,41.472117480068114,2.106773920081281,0,108.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.106773920081281,41.472117480068114]}"
156_0,41.48289726347755,2.0900652557966453,0,109.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0900652557966453,41.48289726347755]}"
157_0,41.4675360721191,2.2458331260629905,0,110.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.2458331260629905,41.4675360721191]}"
158_0,41.420644014288065,2.232358396801203,0,111.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.232358396801203,41.420644014288065]}"
